SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
15,[19],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
8,[23],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
6,[15],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
1,[5],[6]
SFCID,VNFlistToMigrat,DesNodeIDList
9,[30],[1]
SFCID,VNFlistToMigrat,DesNodeIDList
15,[19],[6]
